0.4,0.1,0.15,12.0,1.32,0.24
0.41,0.1,0.15,12.0,1.32,0.24
0.4,0.10008,0.15,12.0,1.32,0.24
0.4,0.1,0.15005,12.0,1.32,0.24
0.4,0.1,0.15,12.0015,1.32,0.24
0.4,0.1,0.15,12.0,1.326,0.24
0.4,0.1,0.15,12.0,1.32,0.242
0.40333,0.10003,0.15002,12.0005,1.322,0.238
0.40444,0.10003,0.15002,12.00067,1.31467,0.23933
0.40333,0.10003,0.15002,12.0005,1.3175,0.2395
0.40111,0.10001,0.15001,12.00017,1.31717,0.24183
0.40278,0.10002,0.15001,12.00042,1.32079,0.23896
0.40667,0.10001,0.15001,12.00025,1.31875,0.23975
0.405,0.1,0.15,12.00075,1.32,0.24
0.405,0.10004,0.15,12.0,1.32,0.24
0.405,0.1,0.15002,12.0,1.32,0.24
0.405,0.1,0.15,12.0,1.32,0.24
0.40667,0.10001,0.15001,12.00025,1.321,0.239
0.40556,0.1,0.15,12.00008,1.32158,0.23992
0.40639,0.10001,0.15001,12.00021,1.31946,0.23979
0.40833,0.10001,0.15,12.00013,1.3205,0.2395
0.40583,0.10001,0.15002,12.00013,1.3205,0.2395
0.40583,0.10001,0.15,12.00013,1.3205,0.2395
0.40583,0.10001,0.15,12.0005,1.3205,0.2395
0.40583,0.10003,0.15,12.00013,1.3205,0.2395
0.40667,0.10001,0.15001,12.00025,1.31987,0.23938
0.40722,0.10002,0.15001,11.99983,1.32046,0.23929
0.40769,0.10002,0.15001,12.00011,1.32044,0.23922
0.4083,0.1,0.15002,12.00011,1.32043,0.23913
0.40913,0.10002,0.15,12.0001,1.3204,0.23901
0.40911,0.10001,0.15001,11.99993,1.3212,0.23901
0.40919,0.10001,0.15001,12.00037,1.32087,0.239
0.41017,0.1,0.15001,12.00064,1.32107,0.23885
0.40955,0.1,0.15,12.00027,1.32109,0.23894
0.40935,0.10001,0.15,12.00033,1.32133,0.23897
0.4086,0.1,0.15001,12.00042,1.32166,0.23908
0.40844,0.1,0.15,12.00075,1.32101,0.23911
0.40926,0.1,0.15,12.00076,1.32189,0.23849
0.40942,0.10001,0.15001,12.00014,1.32166,0.23867
0.40827,0.10002,0.15001,12.00058,1.32178,0.23875
0.40923,0.1,0.15,12.00035,1.32126,0.23889
0.40834,0.1,0.15,12.00078,1.32107,0.23909
0.40915,0.10001,0.15001,12.0003,1.32152,0.23878
0.40976,0.10001,0.15,12.00049,1.3212,0.23891
0.40842,0.10001,0.15001,12.00045,1.32103,0.23892
0.40971,0.1,0.15,12.0007,1.32148,0.23867
0.40938,0.1,0.15001,12.00053,1.32137,0.23897
0.4097,0.1,0.15001,12.0005,1.32117,0.23887
0.40979,0.1,0.15001,12.00039,1.32137,0.23876
0.41109,0.1,0.15,12.00064,1.32151,0.23875
0.41042,0.1,0.15,12.00059,1.32139,0.23879
0.41003,0.1,0.15001,12.00034,1.32104,0.23905
0.41057,0.10001,0.15,12.00045,1.32105,0.23878
0.41042,0.1,0.15,12.00061,1.32094,0.23899
0.41026,0.1,0.15,12.00056,1.32105,0.23893
0.41029,0.1,0.15001,12.00062,1.32123,0.23882
0.41022,0.1,0.15001,12.00046,1.32122,0.23892
0.41009,0.1,0.15,12.00054,1.3213,0.23885
